Line 1: p=0, b=1, s=0
Line 2: p=0, b=1, s=0
Line 3: p=0, b=1, s=0
Line 4: p=0, b=1, s=0
Line 5: p=0, b=0, s=0
Line 6: p=0, b=0, s=0
Line 7: p=0, b=0, s=0
Line 8: p=0, b=1, s=0
Line 9: p=0, b=1, s=0
Line 10: p=0, b=1, s=0
Line 11: p=0, b=1, s=0
Line 12: p=0, b=1, s=0
Line 13: p=0, b=1, s=0
Line 14: p=0, b=0, s=0
Line 15: p=0, b=0, s=0
Line 16: p=0, b=0, s=0
Line 17: p=0, b=0, s=0
Line 18: p=0, b=0, s=0
Line 19: p=0, b=0, s=0
Line 20: p=0, b=0, s=0
Line 21: p=0, b=0, s=0
Line 22: p=0, b=1, s=0
Line 23: p=0, b=1, s=0
Line 24: p=0, b=1, s=0
Line 25: p=0, b=1, s=0
Line 26: p=0, b=1, s=0
Line 27: p=0, b=2, s=0
Line 28: p=0, b=2, s=0
Line 29: p=0, b=2, s=0
Line 30: p=0, b=1, s=0
Line 31: p=0, b=2, s=0
Line 32: p=0, b=2, s=0
Line 33: p=0, b=2, s=0
Line 34: p=0, b=2, s=0
Line 35: p=0, b=1, s=0
Line 36: p=0, b=0, s=0
Line 37: p=0, b=1, s=0
Line 38: p=0, b=1, s=0
Line 39: p=0, b=1, s=0
Line 40: p=0, b=1, s=0
Line 41: p=0, b=1, s=0
Line 42: p=0, b=1, s=0
Line 43: p=0, b=1, s=0
Line 44: p=0, b=1, s=0
Line 45: p=0, b=1, s=0
Line 46: p=0, b=0, s=0
Line 47: p=0, b=0, s=0
Line 48: p=0, b=0, s=0
Line 49: p=0, b=0, s=0
Line 50: p=0, b=0, s=0
Line 51: p=0, b=0, s=0
Line 52: p=0, b=0, s=0
Line 53: p=0, b=1, s=0
Line 54: p=0, b=1, s=0
Line 55: p=0, b=1, s=0
Line 56: p=0, b=1, s=0
Line 57: p=0, b=0, s=0
Line 58: p=0, b=0, s=0
Line 59: p=0, b=0, s=0
Line 60: p=0, b=0, s=0
Line 61: p=0, b=0, s=0
Line 62: p=0, b=0, s=0
Line 63: p=0, b=0, s=0
Line 64: p=0, b=0, s=0
Line 65: p=0, b=0, s=0
Line 66: p=0, b=1, s=0
Line 67: p=0, b=2, s=0
Line 68: p=0, b=2, s=0
Line 69: p=0, b=2, s=0
Line 70: p=0, b=1, s=0
Line 71: p=0, b=2, s=0
Line 72: p=0, b=2, s=0
Line 73: p=0, b=2, s=0
Line 74: p=0, b=2, s=0
Line 75: p=0, b=2, s=0
Line 76: p=0, b=1, s=0
Line 77: p=0, b=1, s=0
Line 78: p=0, b=0, s=0
Line 79: p=0, b=0, s=0
Line 80: p=0, b=1, s=0
Line 81: p=0, b=1, s=0
Line 82: p=0, b=2, s=0
Line 83: p=0, b=3, s=0
Line 84: p=0, b=3, s=0
Line 85: p=0, b=3, s=0
Line 86: p=0, b=3, s=0
Line 87: p=0, b=3, s=0
Line 88: p=0, b=3, s=0
Line 89: p=0, b=4, s=0
Line 90: p=0, b=4, s=0
Line 91: p=0, b=4, s=0
Line 92: p=0, b=4, s=0
Line 93: p=0, b=3, s=0
Line 94: p=0, b=3, s=0
Line 95: p=0, b=4, s=0
Line 96: p=0, b=4, s=0
Line 97: p=0, b=4, s=0
Line 98: p=0, b=4, s=0
Line 99: p=0, b=3, s=0
Line 100: p=0, b=3, s=0
Line 101: p=0, b=4, s=0
Line 102: p=0, b=4, s=0
Line 103: p=0, b=5, s=0
Line 104: p=0, b=5, s=0
Line 105: p=0, b=5, s=0
Line 106: p=0, b=5, s=0
Line 107: p=0, b=4, s=0
Line 108: p=0, b=3, s=0
Line 109: p=0, b=3, s=0
Line 110: p=0, b=3, s=0
Line 111: p=0, b=2, s=0
Line 112: p=0, b=1, s=0
Line 113: p=0, b=0, s=0
Line 114: p=0, b=0, s=0
Line 115: p=0, b=0, s=0
Line 116: p=0, b=0, s=0
Line 117: p=0, b=0, s=0
Line 118: p=0, b=1, s=0
Line 119: p=0, b=2, s=0
Line 120: p=0, b=2, s=0
Line 121: p=0, b=2, s=0
Line 122: p=0, b=2, s=0
Line 123: p=0, b=2, s=0
Line 124: p=0, b=3, s=0
Line 125: p=0, b=3, s=0
Line 126: p=0, b=4, s=0
Line 127: p=0, b=4, s=0
Line 128: p=0, b=4, s=0
Line 129: p=0, b=4, s=0
Line 130: p=0, b=4, s=0
Line 131: p=0, b=4, s=0
Line 132: p=0, b=4, s=0
Line 133: p=0, b=4, s=0
Line 134: p=0, b=5, s=0
Line 135: p=0, b=6, s=0
Line 136: p=0, b=6, s=0
Line 137: p=0, b=6, s=0
Line 138: p=0, b=6, s=0
Line 139: p=0, b=7, s=0
Line 140: p=0, b=7, s=0
Line 141: p=0, b=7, s=0
Line 142: p=0, b=8, s=0
Line 143: p=0, b=8, s=0
Line 144: p=0, b=8, s=0
Line 145: p=0, b=8, s=0
Line 146: p=0, b=7, s=0
Line 147: p=0, b=7, s=0
Line 148: p=0, b=6, s=0
Line 149: p=0, b=6, s=0
Line 150: p=0, b=5, s=0
Line 151: p=0, b=6, s=0
Line 152: p=0, b=6, s=0
Line 153: p=0, b=6, s=0
Line 154: p=0, b=7, s=0
Line 155: p=0, b=7, s=0
Line 156: p=0, b=6, s=0
Line 157: p=0, b=6, s=0
Line 158: p=0, b=5, s=0
Line 159: p=0, b=4, s=0
Line 160: p=0, b=3, s=0
Line 161: p=0, b=2, s=0
Line 162: p=0, b=3, s=0
Line 163: p=0, b=3, s=0
Line 164: p=0, b=3, s=0
Line 165: p=0, b=2, s=0
Line 166: p=0, b=1, s=0
Line 167: p=0, b=0, s=0
Line 168: p=0, b=0, s=0
Line 169: p=0, b=0, s=0
Line 170: p=0, b=1, s=0
Line 171: p=0, b=2, s=0
Line 172: p=0, b=3, s=0
Line 173: p=0, b=3, s=0
Line 174: p=0, b=3, s=0
Line 175: p=0, b=3, s=0
Line 176: p=0, b=3, s=0
Line 177: p=0, b=4, s=0
Line 178: p=0, b=4, s=0
Line 179: p=0, b=4, s=0
Line 180: p=0, b=3, s=0
Line 181: p=0, b=2, s=0
Line 182: p=0, b=3, s=0
Line 183: p=0, b=3, s=0
Line 184: p=0, b=2, s=0
Line 185: p=0, b=2, s=0
Line 186: p=0, b=1, s=0
Line 187: p=0, b=1, s=0
Line 188: p=1, b=2, s=0
Line 189: p=1, b=2, s=0
Line 190: p=1, b=2, s=0
Line 191: p=0, b=1, s=0
